nro_corte,fecha,codigo_tela,tipo,color,kg_usados,rollos_usados,metros_usados,observacion
3,2026-05-13 20:48:17.809172,1,MORLEY SOFT,JET BLACK,23.5,1,,CORTE N. 215
4,2026-05-13 20:48:17.835345,1,MORLEY SOFT,VISON,23.5,1,,CORTE N. 215
5,2026-05-13 20:48:17.86202,1,MORLEY SOFT,JET BLACK,23.7,1,,CORTE N. 215
6,2026-05-13 20:48:17.888346,1,MORLEY SOFT,COCOA,29.7,1,,CORTE N. 215
7,2026-05-13 20:48:17.914141,1,MORLEY SOFT,JET BLACK,23.4,1,,CORTE N. 215
8,2026-05-13 20:48:17.939809,1,MORLEY SOFT,TOPO MELANGE,23.1,1,,CORTE N. 215
9,2026-05-13 20:48:17.964788,1,MORLEY SOFT,VISON,22.9,1,,CORTE N. 215
10,2026-05-13 20:48:17.989425,1,MORLEY SOFT,TOPO MELANGE,23.1,1,,CORTE N. 215
11,2026-05-13 20:48:18.013926,1,MORLEY SOFT,JET BLACK,23.5,1,,CORTE N. 215
12,2026-05-13 20:48:18.038433,1,MORLEY SOFT,TOPO MELANGE,23.2,1,,CORTE N. 215
13,2026-05-13 20:48:18.063043,1,MORLEY SOFT,GRIS MELANGE,22.8,1,,CORTE N. 215
14,2026-05-13 20:48:18.087657,1,MORLEY SOFT,COCOA,23.2,1,,CORTE N. 215
15,2026-05-13 20:48:18.112207,1,MORLEY SOFT,GRIS MELANGE,22.6,1,,CORTE N. 215
16,2026-05-13 20:48:18.13665,1,MORLEY SOFT,COCOA,22.6,1,,CORTE N. 215
17,2026-05-13 20:56:05.304505,1,MORLEY SOFT,BORRAVINO,23.1,1,,CORTE N.  216
18,2026-05-13 20:56:05.330247,1,MORLEY SOFT,JET BLACK,23.1,1,,CORTE N.  216
19,2026-05-13 20:56:05.357144,1,MORLEY SOFT,BORRAVINO,24.4,1,,CORTE N.  216
20,2026-05-13 20:56:05.382773,1,MORLEY SOFT,JET BLACK,23.5,1,,CORTE N.  216
21,2026-05-13 20:56:05.408763,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.1,1,,CORTE N.  216
22,2026-05-13 20:56:05.433913,1,MORLEY SOFT,CHOCO,23.2,1,,CORTE N.  216
23,2026-05-13 20:56:05.459088,1,MORLEY SOFT,BORRAVINO,23,1,,CORTE N.  216
24,2026-05-13 20:56:05.484379,1,MORLEY SOFT,OFF WHITE,22.8,1,,CORTE N.  216
25,2026-05-13 20:56:05.509564,1,MORLEY SOFT,JET BLACK,23,1,,CORTE N.  216
26,2026-05-13 20:56:05.534705,1,MORLEY SOFT,CHOCO,23.3,1,,CORTE N.  216
27,2026-05-13 20:56:05.559834,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.2,1,,CORTE N.  216
28,2026-05-13 20:56:05.584862,1,MORLEY SOFT,JET BLACK,23.4,1,,CORTE N.  216
29,2026-05-13 20:56:05.609884,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.1,1,,CORTE N.  216
30,2026-05-13 20:56:05.634256,1,MORLEY SOFT,OFF WHITE,22.2,1,,CORTE N.  216
31,2026-05-13 21:00:40.48089,1,MORLEY SOFT,BORRAVINO,23,1,,""
32,2026-05-13 21:00:40.507495,1,MORLEY SOFT,CHOCO,23.1,1,,""
33,2026-05-13 21:00:40.532998,1,MORLEY SOFT,BORRAVINO,22.5,1,,""
34,2026-05-13 21:00:40.558193,1,MORLEY SOFT,JET BLACK,23.5,1,,""
35,2026-05-13 21:00:40.583554,1,MORLEY SOFT,OFF WHITE,22.5,1,,""
36,2026-05-13 21:00:40.608723,1,MORLEY SOFT,BORRAVINO,23,1,,""
37,2026-05-13 21:00:40.633863,1,MORLEY SOFT,CHOCO,23.4,1,,""
38,2026-05-13 21:00:40.658859,1,MORLEY SOFT,OFF WHITE,22.6,1,,""
39,2026-05-13 21:00:40.683557,1,MORLEY SOFT,JET BLACK,23.5,1,,""
40,2026-05-13 21:00:40.708014,1,MORLEY SOFT,TOPO MELANGE,23,1,,""
41,2026-05-13 21:00:40.732403,1,MORLEY SOFT,JET BLACK,23.5,1,,""
42,2026-05-13 21:00:40.756897,1,MORLEY SOFT,CHOCO,23.7,1,,""
43,2026-05-13 21:00:40.781428,1,MORLEY SOFT,JET BLACK,22.6,1,,""
44,2026-05-13 21:00:40.806431,1,MORLEY SOFT,TOPO MELANGE,23,1,,""
